Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,315.1300048828125,298.79998779296875,306.1000061035156,310.1199951171875,11658648,310.1199951171875
2019-01-03,309.3999938964844,297.3800048828125,307.0,300.3599853515625,6965184,300.3599853515625
2019-01-04,318.0,302.7300109863281,306.0,317.69000244140625,7394116,317.69000244140625
2019-01-07,336.739990234375,317.75079345703125,321.7200012207031,334.9599914550781,7551225,334.9599914550781
2019-01-08,344.010009765625,327.0199890136719,341.9599914550781,335.3500061035156,7008516,335.3500061035156
2019-01-09,343.50250244140625,331.4700012207031,335.5,338.5299987792969,5432945,338.5299987792969
2019-01-10,345.3900146484375,331.7900085449219,334.3999938964844,344.9700012207031,6056354,344.9700012207031
2019-01-11,348.4100036621094,338.7699890136719,342.0899963378906,347.260009765625,5039052,347.260009765625
2019-01-14,342.5,334.0,342.3800048828125,334.3999938964844,5247284,334.3999938964844
2019-01-15,348.79998779296875,334.5,335.0,344.42999267578125,6056590,344.42999267578125
2019-01-16,352.0,343.5,344.7799987792969,346.04998779296875,4691739,346.04998779296875
2019-01-17,351.5,344.1499938964844,346.2099914550781,347.30999755859375,3676733,347.30999755859375
2019-01-18,327.12969970703125,299.7301025390625,323.0,302.260009765625,24150763,302.260009765625
2019-01-22,308.0,295.5,304.82000732421875,298.9200134277344,12066741,298.9200134277344
2019-01-23,294.5,281.69000244140625,292.5,287.5899963378906,12529993,287.5899963378906
2019-01-24,293.67999267578125,279.2831115722656,283.0299987792969,291.510009765625,8012155,291.510009765625
2019-01-25,298.5195007324219,289.54998779296875,294.3900146484375,297.0400085449219,7258078,297.0400085449219
2019-01-28,297.4599914550781,287.75,292.9100036621094,296.3800048828125,6423279,296.3800048828125
2019-01-29,298.5566101074219,291.79998779296875,295.2699890136719,297.4599914550781,4621692,297.4599914550781
2019-01-30,309.0,298.489990234375,300.45001220703125,308.7699890136719,11250318,308.7699890136719
2019-01-31,311.5635986328125,294.0,301.0,307.0199890136719,12569245,307.0199890136719
2019-02-01,316.1000061035156,303.5,305.4200134277344,312.2099914550781,7283441,312.2099914550781
2019-02-04,315.29998779296875,301.8800048828125,312.9800109863281,312.8900146484375,7352082,312.8900146484375
2019-02-05,322.44000244140625,312.2493896484375,312.489990234375,321.3500061035156,6742765,321.3500061035156
2019-02-06,324.239990234375,315.6239929199219,319.5899963378906,317.2200012207031,5038546,317.2200012207031
2019-02-07,314.70001220703125,303.0,313.29998779296875,307.510009765625,6520611,307.510009765625
2019-02-08,307.44500732421875,298.5,306.8299865722656,305.79998779296875,5844212,305.79998779296875
2019-02-11,318.6000061035156,310.5,311.6000061035156,312.8399963378906,7129713,312.8399963378906
2019-02-12,318.19000244140625,309.6199951171875,316.20001220703125,311.80999755859375,5517570,311.80999755859375
2019-02-13,312.75,305.57000732421875,312.3500061035156,308.1700134277344,5141617,308.1700134277344
2019-02-14,306.7699890136719,301.0,303.3800048828125,303.7699890136719,5200832,303.7699890136719
2019-02-15,308.0,303.8999938964844,304.5,307.8800048828125,3904947,307.8800048828125
2019-02-19,311.544189453125,305.4700012207031,306.55999755859375,305.6400146484375,4168443,305.6400146484375
2019-02-20,306.29998779296875,299.0,304.4100036621094,302.55999755859375,7142117,302.55999755859375
2019-02-21,303.2398986816406,290.5,301.80999755859375,291.2300109863281,8909182,291.2300109863281
2019-02-22,296.5,292.1000061035156,294.489990234375,294.7099914550781,5740558,294.7099914550781
2019-02-25,302.9043884277344,297.00048828125,297.9100036621094,298.7699890136719,6626522,298.7699890136719
2019-02-26,302.010009765625,288.7701110839844,292.2200012207031,297.8599853515625,8582535,297.8599853515625
2019-02-27,316.2950134277344,300.54998779296875,301.7799987792969,314.739990234375,11183908,314.739990234375
2019-02-28,320.0,310.80999755859375,318.9200134277344,319.8800048828125,10520653,319.8800048828125
